sample_type	treatment	concentration	value	hour	plate_id
line1	DMSO	0	100	48	plate_1
line1	DMSO	0	99	48	plate_1
line1	DMSO	0	100	48	plate_1
line2	DMSO	0	90	48	plate_1
line2	DMSO	0	91	48	plate_1
line2	DMSO	0	92	48	plate_1
line1	drug	200	99	48	plate_1
line1	drug	200	97	48	plate_1
line1	drug	200	99	48	plate_1
line2	drug	200	89	48	plate_1
line2	drug	200	87	48	plate_1
line2	drug	200	88	48	plate_1
line1	drug	500	86	48	plate_1
line1	drug	500	89	48	plate_1
line1	drug	500	88	48	plate_1
line2	drug	500	56	48	plate_1
line2	drug	500	59	48	plate_1
line2	drug	500	58	48	plate_1
line1	drug	1000	66	48	plate_1
line1	drug	1000	65	48	plate_1
line1	drug	1000	67	48	plate_1
line2	drug	1000	25	48	plate_1
line2	drug	1000	23	48	plate_1
line2	drug	1000	24	48	plate_1
line1	drug	5000	42	48	plate_1
line1	drug	5000	43	48	plate_1
line1	drug	5000	46	48	plate_1
line2	drug	5000	4	48	plate_1
line2	drug	5000	5	48	plate_1
line2	drug	5000	9	48	plate_1
