sample_type	treatment	treatment_2	concentration	concentration_2	value
line_1	DMSO	DMSO	0.0	0	76589
line_1	drug_1	drug_2	6.25	0	82918
line_1	drug_1	drug_2	12.5	0	82624
line_1	drug_1	drug_2	25	0	85641
line_1	drug_1	drug_2	50	0	88224
line_1	drug_1	drug_2	100	0	86769
line_1	drug_1	drug_2	200	0	68081
line_1	drug_1	drug_2	400	0	24832
line_1	drug_1	drug_2	800	0	2961
line_1	drug_1	drug_2	1600	0	717
line_1	DMSO	DMSO	0.0	0	79042
line_1	drug_1	drug_2	6.25	0	85104
line_1	drug_1	drug_2	12.5	0	88561
line_1	drug_1	drug_2	25	0	88980
line_1	drug_1	drug_2	50	0	92462
line_1	drug_1	drug_2	100	0	92507
line_1	drug_1	drug_2	200	0	75364
line_1	drug_1	drug_2	400	0	26732
line_1	drug_1	drug_2	800	0	2671
line_1	drug_1	drug_2	1600	0	806
line_1	DMSO	DMSO	0.0	0	77130
line_1	drug_1	drug_2	6.25	0	83438
line_1	drug_1	drug_2	12.5	0	85038
line_1	drug_1	drug_2	25	0	87009
line_1	drug_1	drug_2	50	0	91849
line_1	drug_1	drug_2	100	0	92088
line_1	drug_1	drug_2	200	0	76945
line_1	drug_1	drug_2	400	0	29212
line_1	drug_1	drug_2	800	0	2326
line_1	drug_1	drug_2	1600	0	594
line_2	DMSO	DMSO	0.0	0	57319
line_2	drug_1	drug_2	6.25	0	62253
line_2	drug_1	drug_2	12.5	0	61468
line_2	drug_1	drug_2	25	0	60480
line_2	drug_1	drug_2	50	0	43404
line_2	drug_1	drug_2	100	0	12005
line_2	drug_1	drug_2	200	0	2390
line_2	drug_1	drug_2	400	0	1374
line_2	drug_1	drug_2	800	0	628
line_2	drug_1	drug_2	1600	0	617
line_2	DMSO	DMSO	0.0	0	58293
line_2	drug_1	drug_2	6.25	0	61607
line_2	drug_1	drug_2	12.5	0	59729
line_2	drug_1	drug_2	25	0	58048
line_2	drug_1	drug_2	50	0	47568
line_2	drug_1	drug_2	100	0	13000
line_2	drug_1	drug_2	200	0	2188
line_2	drug_1	drug_2	400	0	1474
line_2	drug_1	drug_2	800	0	992
line_2	drug_1	drug_2	1600	0	379
line_2	DMSO	DMSO	0.0	0	52790
line_2	drug_1	drug_2	6.25	0	53619
line_2	drug_1	drug_2	12.5	0	56673
line_2	drug_1	drug_2	25	0	53036
line_2	drug_1	drug_2	50	0	45466
line_2	drug_1	drug_2	100	0	13795
line_2	drug_1	drug_2	200	0	2423
line_2	drug_1	drug_2	400	0	1372
line_2	drug_1	drug_2	800	0	827
line_2	drug_1	drug_2	1600	0	576
line_1	DMSO	DMSO	0.0	0	73923
line_1	drug_1	drug_2	0	52.5	78962
line_1	drug_1	drug_2	0	105	75744
line_1	drug_1	drug_2	0	210	74807
line_1	drug_1	drug_2	0	420	75499
line_1	drug_1	drug_2	0	840	73538
line_1	drug_1	drug_2	0	1680	74657
