#http://p53.bii.a-star.edu.sg/aboutp53/targetgene/index.php	
symbol	role
ANLN	transcription.target
BAX	transcription.target
BBC3	transcription.target
BDKRB2	transcription.target
BTG2	transcription.target
CCNG1	transcription.target
CD82	transcription.target
CDC25C	transcription.target
CDKN1A	transcription.target
CRYZ	transcription.target
CTSD	transcription.target
CX3CL1	transcription.target
DKK1	transcription.target
EEF1A1	transcription.target
EGFR	transcription.target
FAS	transcription.target
GADD45A	transcription.target
GDF15	transcription.target
GML	transcription.target
HGF	transcription.target
HSPA8	transcription.target
IER3	transcription.target
IGFBP3	transcription.target
LRDD	transcription.target
MET	transcription.target
MMP2	transcription.target
NOS3	transcription.target
ODC1	transcription.target
P2RXL1	transcription.target
P53AIP1	transcription.target
PCBP4	transcription.target
PCNA	transcription.target
PLK2	transcription.target
RB1	transcription.target
RRM2B	transcription.target
S100A2	transcription.target
SCARA3	transcription.target
SCD	transcription.target
SERPINB5	transcription.target
SERPINE1	transcription.target
SFN	transcription.target
TAP1	transcription.target
TGFA	transcription.target
THBS2	transcription.target
TNFRSF10B	transcription.target
TP53I3	transcription.target
TP53	regulatory.network
PPM1D	regulatory.network
MAPK14	regulatory.network
PTEN	regulatory.network
PIK3CA	regulatory.network
AKT1	regulatory.network
CDKN1A	regulatory.network
CDK2	regulatory.network
MDM2	regulatory.network
CDKN2A	regulatory.network
CTNNB1	regulatory.network
CCNG1	regulatory.network
PPP2R4	regulatory.network
