dose	U2OS Parental	U2OS Parental	U2OS Parental	U2OS SETD2 CRISPR	U2OS SETD2 CRISPR	U2OS SETD2 CRISPR	extra	extra	extra
0	1.029	0.984	0.987	0.999	0.999	1.002	0.999	0.999	1.002
100	1.01	0.988	0.977	0.785	0.819	0.842	0.885	0.919	0.942
150	1.019	0.981	0.944	0.674	0.652	0.673	0.774	0.752	0.773
200	1.004	0.985	0.947	0.593	0.581	0.584	0.693	0.681	0.684
250	0.999	0.97	0.906	0.4	0.451	0.458	0.5	0.551	0.558
300	0.997	0.975	0.904	0.401	0.423	0.414	0.501	0.523	0.514
400	0.991	0.955	0.889	0.221	0.262	0.276	0.321	0.362	0.376
500	0.977	0.956	0.923	0.214	0.217	0.224	0.314	0.317	0.324
750	0.906	0.882	0.861	0.13	0.156	0.147	0.23	0.256	0.247
1000	0.826	0.812	0.8	0.13	0.133	0.127	0.23	0.233	0.227
