symbol	chr	ucsc_chr	loc_start	fullname	GO
A1BG	19	19	58858387	alpha-1-B glycoprotein	GO:0003674,GO:0005576,GO:0008150
A1CF	10	10	52566488	APOBEC1 complementation factor	GO:0000166,GO:0003723,GO:0003725,GO:0003727,GO:0003729,GO:0004131,GO:0005515,GO:0005515,GO:0005622,GO:0005634,GO:0005654,GO:0005654,GO:0005654,GO:0005720,GO:0005737,GO:0005783,GO:0006397,GO:0016554,GO:0016556,GO:0030895,GO:0050821
A2BP1	16	16	7102072	ataxin 2-binding protein 1	NA
A2LD1	13	13	101184383	AIG2-like domain 1	GO:0003839,GO:0008415,GO:0016740,GO:0042219
A2M	12	12	9220418	alpha-2 macroglobulin family-like protein	GO:0001869,GO:0002576,GO:0004867,GO:0005096,GO:0005515,GO:0005515,GO:0005576,GO:0005576,GO:0005576,GO:0005615,GO:0005829,GO:0006953,GO:0007264,GO:0007584,GO:0007596,GO:0007596,GO:0007597,GO:0010037,GO:0019838,GO:0019899,GO:0019959,GO:0019966,GO:0030168,GO:0031093,GO:0043120,GO:0043547,GO:0051056,GO:0051384
A2ML1	12	12	8975247	alpha-2-macroglobulin-like 1	GO:0004867,GO:0005576,GO:0005615,GO:0010466,GO:0030414,GO:0052548
A4GALT	22	22	43088895	alpha 1,4-galactosyltransferase	GO:0000139,GO:0005624,GO:0005794,GO:0006688,GO:0007009,GO:0008378,GO:0008378,GO:0008378,GO:0008610,GO:0016020,GO:0016021,GO:0016757,GO:0030173,GO:0050512,GO:0005795
A4GNT	3	3	137843105	alpha-1,4-N-acetylglucosaminyltransferase	GO:0000139,GO:0005624,GO:0005794,GO:0005975,GO:0006493,GO:0008375,GO:0008378,GO:0009101,GO:0016020,GO:0016021,GO:0016757,GO:0005795
AAA1	7	7	34873943	aortic aneurysm, familial abdominal 1	NA
AAAS	12	12	53701272	achalasia, adrenocortical insufficiency, alacrimia	GO:0003674,GO:0005635,GO:0005635,GO:0005635,GO:0005635,GO:0005643,GO:0005643,GO:0005975,GO:0006913,GO:0008645,GO:0010827,GO:0015758,GO:0016032,GO:0016032,GO:0046822,GO:0055085,GO:0055085
AACS	12	12	125550130	acetoacetyl-CoA synthetase	GO:0000166,GO:0001889,GO:0005524,GO:0005737,GO:0005829,GO:0006629,GO:0006631,GO:0007584,GO:0010243,GO:0014074,GO:0016874,GO:0030729,GO:0032024,GO:0034201,GO:0042493,GO:0042594,GO:0045471,GO:0047760,GO:0050872,GO:0060612,GO:0071333,GO:0071394,GO:0071397
AACSL	5	5	178203277	NA	NA
AADAC	3	3	151531950	arylacetamide deacetylase (esterase)	GO:0003824,GO:0004091,GO:0004806,GO:0005783,GO:0005789,GO:0005789,GO:0005789,GO:0005792,GO:0008152,GO:0010898,GO:0016020,GO:0016021,GO:0016298,GO:0017171,GO:0019213
AADACL2	3	3	151451823	arylacetamide deacetylase-like 2	GO:0004091,GO:0005576,GO:0008152,GO:0016021,GO:0016787
AADACL3	1	1	12776343	arylacetamide deacetylase-like 3	GO:0008152,GO:0016787
AADACL4	1	1	12704565	arylacetamide deacetylase-like 4	GO:0004091,GO:0016020,GO:0016021,GO:0016787,GO:0008152
AADAT	4	4	170982078	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial-like	GO:0005739,GO:0005759,GO:0005759,GO:0005759,GO:0006103,GO:0006536,GO:0006554,GO:0006569,GO:0009058,GO:0016212,GO:0016212,GO:0019441,GO:0030170,GO:0034641,GO:0042803,GO:0047536,GO:0047536,GO:0047536,GO:0070189
AAGAB	15	15	67495158	alpha- and gamma-adaptin binding protein	GO:0005737,GO:0015031
AAK1	2	2	69703000	AP2 associated kinase 1	GO:0000166,GO:0004674,GO:0005524,GO:0005737,GO:0005739,GO:0005886,GO:0005905,GO:0006468
AAMP	2	2	219129255	angio-associated, migratory cell protein	GO:0001525,GO:0005737,GO:0005886,GO:0007275,GO:0008201,GO:0009986,GO:0010595,GO:0014909,GO:0030154
AANAT	17	17	74464828	aralkylamine N-acetyltransferase	GO:0004059,GO:0004060,GO:0005737,GO:0005829,GO:0007623,GO:0008152,GO:0008415,GO:0009416,GO:0010043,GO:0014070,GO:0016740,GO:0030187,GO:0032868,GO:0034097,GO:0034641,GO:0034695,GO:0042446,GO:0046688,GO:0051412,GO:0051591,GO:0051592
AARS	16	16	70286623	alanyl-tRNA synthetase	GO:0000049,GO:0000166,GO:0004813,GO:0005524,GO:0005625,GO:0005737,GO:0005829,GO:0006418,GO:0006418,GO:0006419,GO:0008033,GO:0010467,GO:0016597,GO:0016874,GO:0046872
AARS2	6	6	44268283	alanyl-tRNA synthetase 2, mitochondrial (putative)	GO:0000049,GO:0000166,GO:0004813,GO:0005524,GO:0005739,GO:0006418,GO:0006418,GO:0006419,GO:0010467,GO:0016874,GO:0046872,GO:0005737
AARSD1	17	17	41102609	alanyl-tRNA synthetase domain containing 1	GO:0000166,GO:0003676,GO:0004813,GO:0005524,GO:0005737,GO:0006412,GO:0006419,GO:0016876,GO:0043039,GO:0046872
