symbol	chr	ucsc_chr	loc_start	fullname	GO
0610006I08Rik	19	chr19	8845498	hypothetical protein LOC66836	NA
0610007C21Rik	5	chr5	31351836	apoptosis related protein APR-3 isoform 2	GO:0016021,GO:0016020,GO:0005886
0610007L01Rik	5	chr5	130705337	hypothetical protein LOC71667	GO:0016021,GO:0016020
0610007P08Rik	13	chr13	63916782	RAD26L hypothetical protein	GO:0016787,GO:0006281,GO:0005634,GO:0004386,GO:0004386,GO:0006974,GO:0003677,GO:0003677,GO:0000166,GO:0005524,GO:0005524,GO:0003676,GO:0008026
0610007P14Rik	12	chr12	87157063	hypothetical protein LOC58520	GO:0016126,GO:0005783,GO:0016021,GO:0016021,GO:0016020,GO:0006694,GO:0008610
0610007P22Rik	17	chr17	25377197	hypothetical protein LOC68327	GO:0016021,GO:0016020
0610008C08Rik	X	chrX	91625357	hypothetical protein LOC68316	NA
0610008F07Rik	2	chr2	163319543	Mus musculus adult male kidney cDNA, RIKEN full-length enriched library, clone:0610008F07 product:unclassifiable, full insert sequence.	NA
0610009B22Rik	11	chr11	51499148	hypothetical protein LOC66050	NA
0610009D07Rik	12	chr12	4824595	splicing factor 3B, 14 kDa subunit	GO:0005634,GO:0006397,GO:0003723,GO:0008380,GO:0003676,GO:0000166
0610009K11Rik	4	chr4	137990674	hypothetical protein LOC68350	NA
0610009O03Rik	5	chr5	34976547	tetracycline transporter-like protein	NA
0610009O20Rik	18	chr18	38410022	hypothetical protein LOC66839	GO:0005739,GO:0005488
0610010D20Rik	19	chr19	42120407	hypothetical protein LOC67432	NA
0610010D24Rik	12	chr12	102208209	Adult male kidney cDNA, RIKEN full-length enriched library, clone:0610010D24 product:hypothetical protein, full insert sequence.	NA
0610010E21Rik	7	chr7	31106991	hypothetical protein LOC68332	NA
0610010F05Rik	11	chr11	23475480	hypothetical protein LOC71675	NA
0610010K06Rik	1_random	chr1_random	251699	hypothetical protein LOC71678	GO:0016020
0610010K14Rik	11	chr11	70048961	hypothetical protein LOC104457	GO:0005634,GO:0003677,GO:0003677
0610010O12Rik	18	chr18	36526187	hypothetical protein LOC66060	NA
0610011F06Rik	17	chr17	26012474	hypothetical protein LOC68347	NA
0610011L14Rik	2	chr2	156376443	hypothetical protein LOC68295	GO:0005515
0610012D14Rik	7	chr7	51720841	hypothetical protein LOC68352	NA
0610012D17Rik	16	chr16	32419894	hypothetical protein LOC66061	NA
0610012G03Rik	16	chr16	31948246	Adult male kidney cDNA, RIKEN full-length enriched library, clone:0610041D15 product:hypothetical protein, full insert sequence. (Fragment).	GO:0005515,GO:0008150,GO:0005575
0610012H03Rik	2	chr2	105137904	hypothetical protein LOC74088	GO:0005739,GO:0005739,GO:0008150,GO:0003674
0610013E23Rik	11	chr11	86299613	RIKEN cDNA 0610013E23	NA
0610025P10Rik	11	chr11	69715399	hypothetical protein LOC216860	NA
0610030E20Rik	6	chr6	72297402	RIKEN cDNA 0610030E20 gene (Hypothetical protein).	NA
0610031J06Rik	3	chr3	88129003	kidney predominant protein NCU-G1	GO:0016021,GO:0016020,GO:0005764
0610037D15Rik	4	chr4	116381621	hypothetical protein LOC68394	NA
0610037L13Rik	4	chr4	107562609	hypothetical protein LOC74098	GO:0008150,GO:0005575,GO:0003674
0610037P05Rik	16	chr16	14300222	hypothetical protein LOC66086	NA
0610038D11Rik	19	chr19	6984674	hypothetical protein LOC67674	NA
0610038F07Rik	19	chr19	10577488	hypothetical protein LOC66072	NA
0610040J01Rik	5	chr5	64287690	hypothetical protein LOC76261	NA
0710005I19Rik	7	chr7	17545570	hypothetical protein LOC71691	NA
0710008K08Rik	8	chr8	11497652	hypothetical protein LOC69225	NA
0910001A06Rik	15	chr15	63763170	hypothetical protein LOC223601	NA
0910001L09Rik	5	chr5	138697028	hypothetical protein LOC66096	NA
1100001E04Rik	X	chrX	46823783	hypothetical protein LOC75404	NA
1100001G20Rik	11	chr11	83560528	WDNM1-like protein	GO:0050872,GO:0005615,GO:0034612,GO:0032496,GO:0010577
1100001H23Rik	6	chr6	136562304	hypothetical protein LOC66857	NA
1110001A07Rik	11	chr11	86922773	hypothetical protein LOC66140	NA
1110001A16Rik	17	chr17	79317697	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110001A16 product:hypothetical protein, full insert sequence.	NA
1110001D15Rik	9	chr9	105893109	collagen type VI alpha 4	NA
1110001J03Rik	6	chr6	38484872	hypothetical protein LOC66117	NA
1110002B05Rik	12	chr12	55747418	hypothetical protein LOC104725	GO:0016021,GO:0016020,GO:0005783
